Having_@_symbol,Having_IP,Prefix_suffix_separation,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,statistical_report,tiny_url,web_traffic,label
0,0,0,0,0,0,1,1,1,0,0,1,1,1
0,0,0,0,1,1,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,1,0,0,2,0,1,1,1,0,0,0,1,1
1,0,0,0,0,2,1,1,1,0,1,0,0,1
0,1,0,0,2,0,1,1,1,0,0,0,1,1
0,0,0,0,2,2,1,1,1,1,1,0,1,1
0,0,0,1,0,2,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,1,0,0,2,0,1,1,1,0,0,0,1,1
0,1,0,0,1,2,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,1,0,0,1,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,0,2,1,1,1,0,0,0,1,1
0,0,0,1,0,2,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,0,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,2,1,1,1,0,0,0,1,1
0,0,0,0,2,1,1,1,1,0,0,0,2,1
0,0,0,0,1,0,1,1,1,0,0,0,2,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,0,1,1,1,1,0,1,0,1,1
0,0,1,0,0,1,1,1,1,0,1,0,1,1
0,0,0,0,2,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,1,1,1
0,0,0,0,0,2,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,2,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,1,1,1,1,1,0,1,0,1,1
0,0,0,0,2,0,1,1,1,0,0,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,2,1
0,0,0,0,1,1,1,1,1,0,0,0,2,1
0,0,0,0,0,2,1,1,1,0,1,0,1,1
0,0,0,0,0,2,1,1,1,0,1,0,0,1
0,0,0,0,2,2,1,1,1,0,1,0,1,1
0,0,0,0,0,2,1,1,1,0,0,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,1,0,0,1,1,1,1,0,1,0,1,1
0,0,0,0,2,1,1,1,1,0,0,1,1,1
0,0,0,0,2,0,1,1,1,0,1,0,1,1
0,0,0,0,0,2,1,1,1,0,0,0,1,1
0,0,0,0,0,2,1,1,1,0,1,0,0,1
0,0,0,0,0,2,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,0,0,1,1,1,0,0,1,2,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,1,1,1
0,0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,1,2,1,1,1,0,0,0,2,1
0,0,0,0,2,0,1,1,1,0,0,0,1,1
0,0,0,0,2,0,1,1,1,0,1,0,1,1
0,0,0,0,1,2,1,1,1,0,0,0,2,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,1,2,1,1,1,0,1,0,1,1
0,0,1,0,2,2,1,1,1,0,0,0,2,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,2,2,1,1,1,0,1,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,1,0,2,0,1,1,1,0,0,0,2,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,1,2,1
0,0,0,0,0,0,1,1,1,0,0,0,0,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
1,0,0,0,2,1,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,1,1,1,1,0,0,0,0,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,2,0,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,1,0,0,0,0,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,2,1,1,1,0,0,0,1,1
0,0,0,0,2,1,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,2,1,1,1,0,1,0,1,1
0,0,1,0,0,1,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,2,1,1,1,0,0,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,2,0,1,1,1,0,1,0,1,1
0,0,0,0,0,2,1,1,1,0,0,0,2,1
0,0,0,1,0,2,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,2,1,1,1,0,0,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,0,0,2,2,1,1,1,0,1,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,0,1,0,0,1,1,1,0,0,0,1,1
0,0,0,0,2,0,1,1,1,0,1,0,1,1
0,1,0,0,2,0,1,1,1,0,0,0,1,1
0,0,0,0,2,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,2,1
0,0,0,0,1,2,1,1,1,0,0,0,0,1
0,0,0,0,2,0,1,1,1,0,1,0,1,1
0,0,0,0,2,0,1,1,1,0,1,0,1,1
0,1,0,0,2,0,1,1,1,0,0,0,1,1
0,0,1,0,0,0,1,1,1,0,0,0,1,1
0,1,0,0,1,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,2,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,1,1,1,1,1,0,1,0,1,1
0,0,0,0,2,1,1,1,1,0,0,1,1,1
0,0,0,0,0,2,1,1,1,0,1,0,1,1
0,0,0,0,2,1,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,2,2,1,1,1,0,1,0,1,1
0,0,1,0,1,2,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,1,2,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,0,0,1,1
0,0,1,0,1,1,1,1,1,0,0,0,2,1
0,0,0,0,1,0,1,1,1,0,1,0,1,1
0,0,0,0,1,2,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,1,0,1,0,1,1
0,0,0,0,0,2,1,1,1,0,0,0,1,1
0,0,0,0,1,0,1,1,1,0,1,0,1,1
0,0,0,1,2,2,1,1,1,0,0,0,2,1
0,0,0,1,2,2,1,1,1,0,0,0,2,1
0,0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,2,2,1,1,1,0,0,0,2,1
0,0,0,0,1,0,1,1,1,0,0,0,1,1
0,0,0,0,2,0,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,1,0,1,0,1,1
0,0,1,0,0,1,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,1,2,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,1,1,1
0,0,1,0,0,0,1,1,1,0,0,1,2,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,0,2,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,1,0,0,1,0,1,1,1,0,0,0,1,1
0,1,0,0,1,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,1,0,0,1,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,2,0,1,1,1,0,0,0,0,1
0,0,0,0,2,2,1,1,1,0,1,0,1,1
0,0,1,0,2,1,1,1,1,0,1,0,2,1
0,0,1,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,2,0,1,1,1,0,0,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,2,1
0,0,0,0,0,0,1,1,1,0,0,0,2,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,2,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,1,0,2,1,1,1,0,1,0,0,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
1,0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,1,0,2,1,1,1,1,0,0,0,2,1
0,0,0,0,1,1,1,1,1,0,0,0,2,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,2,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,2,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,0,2,1,1,1,0,1,0,1,1
0,0,0,0,2,1,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,0,2,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,2,1
0,0,0,0,2,0,1,1,1,0,1,0,1,1
0,0,0,0,0,1,1,1,1,0,0,0,2,1
0,0,0,0,0,0,1,1,1,0,0,0,2,1
0,0,0,0,0,1,1,1,1,0,1,0,1,1
0,0,0,0,2,2,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,1,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,2,1,1,1,0,1,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,2,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,1,0,0,2,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,2,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,2,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,2,0,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,2,0,1,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,2,1,1,1,0,1,0,1,1
0,0,0,0,2,0,1,1,1,0,1,0,1,1
0,0,0,0,2,2,1,1,1,0,1,0,1,1
0,0,0,0,2,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,1,0,2,0,1,1,1,0,1,0,1,1
0,0,1,0,2,2,1,1,1,0,1,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,0,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,0,2,1,1,1,0,0,0,1,1
0,0,1,0,1,1,1,1,1,1,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,1,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,2,1
1,0,0,0,1,1,1,1,1,0,1,0,1,1
0,0,0,0,2,0,1,1,1,0,0,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,2,1,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,2,1
0,0,0,0,2,1,1,1,1,0,0,0,1,1
0,0,0,0,2,2,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1
